识别领域 语音识别领域
集中式访问控制 非集中式访问控制
城市网络分割 城市
虚拟机 通用虚拟机监视器
规则 时新性规则
服务系统开发 服务系统开发方法
实体 数据实体
编码 统计编码
增强用户 增强用户体验
试验台 无线传感器网络试验台
砷化镓半导体量子点 砷化镓
数字敦煌项目 数字敦煌项目数字化成果
数据服务 生物学数据服务
模型 耦合马尔可夫随机场模型
交互信息处理 交互信息处理能力
模块 能量模块
AI模型 构建AI模型
元数据 记录元数据
测试量子云计算系统 计算系统
系统需求模型 优化系统需求模型
命题投影时序逻辑 命题投影时序逻辑系统
城市数据可视分析系统 城市数据可视分析
输入 对抗样本输入
特权 职业特权
称号 认知科学家
资源 大数据计算系统资源规模化
信号 神经信号
成果 成果报奖
协调 协调世界
密码 遗传密码
录音机 触觉录音机
高性能计算应用 评测高性能计算应用
搜索排名系统 搜索
心脏 心脏实验数据
时间 时间检验
学科 精神病学
定理 定理应用
模型 模型导航
表 认知表征
周期性数据传输 数据
虚拟网 虚拟网络拓扑
数字视频编码技术 数字视频编码
模块 处理模块
参数 参数选取
深度神经网络加速器 神经网络加速
未知 未知问题转化
网格软件课题组 课题组
自学习 自学习子系统
编程框架 图计算编程框架
增量 小规模增量条件
结构化文档 结构化文档检索系统
数据 数据页面
称号 请求者
智能技术 机器学习智能技术
份额 份额估计值
信息领域 调整信息领域
生物领域名字实体识别 名字实体识别
内存数据管理系统 内存数据
分析城市 分析城市环境
云平台可信监控框架 云平台
高效基础编译支撑框架 高效
电路 奇偶校验电路
存储 并发存储
虚拟机 虚拟机内度量框架
采集 采集例句
务实 企业财务实时信息
时域索引 时域索引结构
视觉对象 视觉对象数据库
细粒度 扩展细粒度
判断 判断信息
链路 感应链路
文献挖掘 生物医学文献挖掘
组合式存储系统 组合式存储系统架构
人工智能领域 嵌入式人工智能领域
协议 量子通讯协议验证
样式 战争样式
学科 流体动力学
关系 人际关系信息
芯片 芯片配置
轻量级 轻量级安全隐私保护
噪声自适应迭代低秩矩阵近似模型 模型
数据流 显示数据流
进口 中芯国际进口
导航 城市导航
国产高效能计算机运算 运算
系统设计 系统设计能力
收益组合型 低收益组合型
会议 智能计算联合国际会议
资质 获取信息资质
学科 临床心脏病学
交互式群体计算模型 交互式
物理 中国科学院物理研究所进口
高精度运算 运算
虚拟化软件 系统虚拟化软件
委员会 欧洲委员会
身份 身份鉴别
工作分解结构 定义工作分解结构
安全 安全性检查框架
机软件 安全虚拟机软件框架
三维战场环境 三维
信息自动转化 信息
控股 阿里巴巴集团控股有限公司
可信计算 可信计算理论模型
撰写 撰写文章
信息自动推荐 自动
物联网 物联网嵌入式系统
编程 启发式编程
企业 企业描述
灾难 灾难行为模式
网络文档 文档
比较 比较弱时
北京大学计算机研究所 计算机研究所
手机 手机后端云
查询 查询结果排序用户
通信 通信安全体系
海量感知数据 数据
模型检测算法 模型检测
社交网 社交网站分析
能效 数据中心能效
编码 编码端
方向 功耗可扩展性
处理架构 深度学习处理架构
数据 海量仿真数据
资源 资源使用环境高效
离子阱 晶格离子阱
服务业 现代服务业发展规划
表 表示句子
算法 启发式查询处理算法
测算 异常检测算法
存储 链下存储
软件新技术 计算机软件新技术国家重点实验室
该类影像分析 影像
地址 片段地址
方向 因果公平性
线性 线性迭加
监督分类 视作监督分类
